unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643180400,37309.8,37331.4,37309.8,37331.4,37319.5,0.00620289,2,2022-01-26 07:00:00,231.562567746
1643180460,37328.0,37334.0,37299.5,37326.6,37322.3,0.01430628,6,2022-01-26 07:01:00,534.0047910479999
1643180520,37332.7,37332.7,37222.0,37235.9,37260.6,5.58420093,48,2022-01-26 07:02:00,207932.747409387
1643180580,37255.7,37261.2,37247.6,37247.6,37260.6,0.10330897,4,2022-01-26 07:03:00,3848.011190972
1643180640,37255.5,37256.4,37255.4,37256.4,37255.5,0.09908746,7,2022-01-26 07:04:00,3691.642044744
1643180700,37255.5,37270.4,37255.4,37255.4,37269.6,0.12610183,5,2022-01-26 07:05:00,4697.974117382
1643180760,37226.4,37228.9,37226.4,37228.9,37226.8,0.00761336,2,2022-01-26 07:06:00,283.437018104
1643180820,37244.2,37244.2,37226.4,37226.4,37227.0,0.37804889,23,2022-01-26 07:07:00,14073.399198696
1643180880,37226.4,37236.8,37226.4,37236.8,37234.1,0.00151682,13,2022-01-26 07:08:00,56.48152297600001
1643180940,37236.9,37236.9,37236.8,37236.8,37236.8,0.00048414,3,2022-01-26 07:09:00,18.027824352
1643181000,37236.9,37236.9,37226.4,37226.4,37229.9,0.01507835,7,2022-01-26 07:10:00,561.3126884400001
1643181060,37226.6,37231.8,37226.6,37231.8,37231.5,0.01780967,2,2022-01-26 07:11:00,663.086071506
1643181120,37225.8,37225.8,37200.0,37200.0,37206.5,0.08109219,17,2022-01-26 07:12:00,3016.6294679999996
1643181180,37200.1,37200.1,37175.0,37181.4,37183.4,2.12380251,31,2022-01-26 07:13:00,78965.950645314
1643181240,37183.0,37211.3,37183.0,37202.0,37201.8,0.04503846,5,2022-01-26 07:14:00,1675.52078892
1643181300,37198.8,37198.8,37184.9,37193.7,37193.7,0.11793122,3,2022-01-26 07:15:00,4386.298417313999
1643181360,37196.0,37196.0,37195.7,37196.0,37195.8,0.14387612,5,2022-01-26 07:16:00,5351.61615952
1643181420,37196.0,37251.8,37196.0,37251.8,37223.8,0.08123529,12,2022-01-26 07:17:00,3026.1607760220004
1643181480,37240.2,37271.5,37240.2,37271.5,37244.5,0.47653370,14,2022-01-26 07:18:00,17761.125799550002
1643181540,37270.9,37272.7,37270.2,37270.2,37270.8,0.44636920,9,2022-01-26 07:19:00,16636.26935784
1643181600,37270.2,37296.0,37270.2,37294.4,37293.6,0.93684255,9,2022-01-26 07:20:00,34938.98079672
1643181660,37294.4,37302.9,37281.5,37281.5,37295.2,0.05876219,11,2022-01-26 07:21:00,2190.742586485
1643181720,37280.5,37290.3,37271.1,37290.3,37273.8,0.05025645,10,2022-01-26 07:22:00,1874.0780974350002
1643181780,37285.3,37286.8,37283.1,37283.1,37283.7,0.22466333,6,2022-01-26 07:23:00,8376.145398723
1643181840,37283.1,37283.1,37218.9,37218.9,37278.9,0.65740329,11,2022-01-26 07:24:00,24467.827310181
1643181900,37221.8,37229.5,37201.5,37202.8,37209.7,0.07961777,9,2022-01-26 07:25:00,2962.0039737560005
1643181960,37195.5,37195.5,37193.8,37193.9,37193.8,0.05428052,6,2022-01-26 07:26:00,2018.904232828
1643182020,37193.9,37212.9,37193.9,37198.1,37194.1,1.05684906,11,2022-01-26 07:27:00,39312.777018786
1643182080,37204.6,37204.6,37204.6,37204.6,37204.6,0.00392810,2,2022-01-26 07:28:00,146.14338926000002
1643182140,37204.6,37204.6,37204.4,37204.5,37204.5,0.17270624,7,2022-01-26 07:29:00,6425.4493060800005
1643182200,37204.6,37228.9,37204.6,37228.9,37206.1,1.07839022,15,2022-01-26 07:30:00,40147.281661358
1643182260,37229.0,37290.5,37229.0,37290.5,37264.2,0.14789886,10,2022-01-26 07:31:00,5515.22243883
1643182320,37297.6,37297.7,37297.6,37297.7,37297.6,0.09662245,4,2022-01-26 07:32:00,3603.795153365
1643182380,37297.7,37297.7,37297.7,37297.7,0.0,0.00000000,0,2022-01-26 07:33:00,0.0
1643182440,37297.9,37303.8,37297.8,37303.8,37297.9,0.20437780,6,2022-01-26 07:34:00,7624.068575640001
1643182500,37307.3,37323.7,37297.6,37321.9,37314.5,0.13559474,6,2022-01-26 07:35:00,5060.653326806
1643182560,37326.7,37330.0,37312.2,37330.0,37315.9,0.01406057,4,2022-01-26 07:36:00,524.8810781
1643182620,37328.8,37350.0,37319.8,37343.3,37342.3,1.08886422,12,2022-01-26 07:37:00,40661.783226726
1643182680,37342.8,37342.8,37334.4,37334.4,37342.0,0.07765170,3,2022-01-26 07:38:00,2899.0796284800003
1643182740,37350.0,37350.0,37349.9,37350.0,37349.9,0.03513945,6,2022-01-26 07:39:00,1312.4584575000001
1643182800,37350.0,37350.0,37337.5,37343.2,37341.9,0.04549136,5,2022-01-26 07:40:00,1698.792954752
1643182860,37342.5,37350.0,37342.5,37349.9,37348.5,0.02211037,6,2022-01-26 07:41:00,825.8201084630001
1643182920,37350.0,37386.8,37350.0,37386.8,37361.3,0.10188427,18,2022-01-26 07:42:00,3809.1268256360004
1643182980,37392.0,37395.5,37388.3,37388.7,37389.9,0.03826393,7,2022-01-26 07:43:00,1430.638599591
1643183040,37389.8,37389.8,37388.6,37388.7,37388.6,0.05790123,6,2022-01-26 07:44:00,2164.8517181009997
1643183100,37388.6,37388.6,37356.4,37356.4,37360.8,0.25065200,6,2022-01-26 07:45:00,9363.4563728
1643183160,37351.4,37351.4,37332.0,37332.1,37344.6,0.14168365,11,2022-01-26 07:46:00,5289.348190164999
1643183220,37332.1,37332.1,37324.5,37330.7,37329.9,0.25547641,16,2022-01-26 07:47:00,9537.113218786999
1643183280,37332.1,37332.3,37332.1,37332.3,37332.2,5.93524622,65,2022-01-26 07:48:00,221576.39245890602
1643183340,37332.3,37332.3,37332.3,37332.3,37332.3,0.22015453,7,2022-01-26 07:49:00,8218.874960319
1643183400,37332.3,37332.3,37332.2,37332.2,37332.2,0.05221937,6,2022-01-26 07:50:00,1949.463964714
1643183460,37332.3,37332.3,37329.3,37329.3,37331.6,0.02738159,7,2022-01-26 07:51:00,1022.1355875870001
1643183520,37300.3,37306.5,37297.0,37297.0,37300.0,0.18297537,8,2022-01-26 07:52:00,6824.43237489
1643183580,37297.1,37297.1,37297.0,37297.1,37297.0,0.30167380,12,2022-01-26 07:53:00,11251.557885979999
1643183640,37314.3,37325.3,37314.3,37325.3,37323.5,1.89283660,10,2022-01-26 07:54:00,70650.69394598
1643183700,37327.4,37332.3,37322.7,37322.7,37331.4,0.08646795,5,2022-01-26 07:55:00,3227.2173574649996
1643183760,37313.4,37313.4,37308.9,37308.9,37313.0,0.00286949,3,2022-01-26 07:56:00,107.05751546100001
