unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643181720,2457.74,2457.75,2457.18,2457.19,2457.19,3.35211168,9,2022-01-26 07:22:00,8236.7752989792
1643181780,2457.71,2457.71,2457.71,2457.71,2457.71,2.00000000,2,2022-01-26 07:23:00,4915.42
1643181840,2457.72,2457.72,2457.18,2457.18,2457.41,10.49301523,14,2022-01-26 07:24:00,25783.227162851395
1643181900,2456.26,2456.26,2455.30,2455.30,2455.40,0.08360975,4,2022-01-26 07:25:00,205.287019175
1643181960,2455.29,2455.29,2452.98,2452.98,2453.46,10.22516156,11,2022-01-26 07:26:00,25082.1168034488
1643182020,2454.12,2454.13,2454.12,2454.13,2454.12,0.04800000,4,2022-01-26 07:27:00,117.79824
1643182080,2455.31,2455.31,2454.11,2454.11,2454.35,1.69724513,4,2022-01-26 07:28:00,4165.2262459843005
1643182140,2454.02,2455.12,2454.02,2455.12,2454.25,0.06347352,6,2022-01-26 07:29:00,155.8351084224
1643182200,2454.38,2454.38,2454.38,2454.38,2454.38,0.99826993,1,2022-01-26 07:30:00,2450.1337507934
1643182260,2456.11,2459.90,2455.46,2459.90,2456.48,0.25717344,11,2022-01-26 07:31:00,632.620945056
1643182320,2459.90,2459.90,2459.90,2459.90,2459.90,0.22683200,4,2022-01-26 07:32:00,557.9840368
1643182380,2459.90,2460.60,2459.90,2460.60,2460.23,4.44680883,8,2022-01-26 07:33:00,10941.817807098
1643182440,2459.89,2460.49,2459.57,2459.57,2459.72,2.05799781,8,2022-01-26 07:34:00,5061.7896735417
1643182500,2460.29,2460.29,2460.20,2460.21,2460.21,0.38624556,3,2022-01-26 07:35:00,950.2451891676
1643182560,2460.61,2461.19,2460.61,2461.19,2461.09,3.05410000,7,2022-01-26 07:36:00,7516.720379
1643182620,2462.64,2462.80,2462.39,2462.80,2462.69,12.04352306,10,2022-01-26 07:37:00,29660.788592168003
1643182680,2464.25,2464.25,2464.22,2464.23,2464.23,0.07825364,4,2022-01-26 07:38:00,192.8349672972
1643182740,2465.45,2465.45,2464.96,2465.21,2465.27,1.42259542,4,2022-01-26 07:39:00,3506.9964553382
1643182800,2464.65,2464.65,2463.90,2463.90,2464.30,1.85200000,5,2022-01-26 07:40:00,4563.1428000000005
