unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643238120,36500.6,36537.1,36500.6,36537.1,36521.0,0.15868017,9,2022-01-26 23:02:00,5797.713239307001
1643238180,36537.1,36596.9,36537.0,36596.9,36560.1,2.26637091,29,2022-01-26 23:03:00,82942.149556179
1643238240,36596.8,36598.4,36559.6,36559.7,36593.4,0.25788036,17,2022-01-26 23:04:00,9428.028597491999
1643238300,36559.7,36576.6,36559.1,36574.6,36568.5,0.13960515,12,2022-01-26 23:05:00,5106.00251919
1643238360,36574.8,36582.4,36562.4,36566.7,36578.1,6.14236853,23,2022-01-26 23:06:00,224606.14732595097
1643238420,36569.3,36584.0,36569.3,36584.0,36583.9,5.08355332,10,2022-01-26 23:07:00,185976.71465888
1643238480,36584.4,36621.3,36584.4,36621.2,36592.7,8.52426103,22,2022-01-26 23:08:00,312168.668031836
1643238540,36621.2,36621.2,36621.1,36621.1,36621.1,3.06532789,5,2022-01-26 23:09:00,112255.67919247899
1643238600,36621.2,36754.4,36621.2,36717.0,36706.6,10.95598915,94,2022-01-26 23:10:00,402271.05362055
1643238660,36720.0,36928.7,36717.1,36794.4,36847.3,152.07299333,463,2022-01-26 23:11:00,5595434.545781353
1643238720,36814.3,36824.8,36769.0,36808.6,36795.8,5.58078137,42,2022-01-26 23:12:00,205420.749135782
1643238780,36835.4,36835.4,36801.2,36803.9,36810.5,2.91602743,22,2022-01-26 23:13:00,107321.181930977
1643238840,36804.9,36813.9,36715.0,36727.4,36766.1,4.08076189,52,2022-01-26 23:14:00,149875.774238786
1643238900,36715.2,36715.2,36681.5,36710.8,36709.5,2.80197312,16,2022-01-26 23:15:00,102862.67481369601
1643238960,36701.7,36710.6,36701.7,36709.9,36707.4,2.03763464,5,2022-01-26 23:16:00,74801.363870936
1643239020,36716.7,36716.7,36668.9,36676.3,36682.4,0.07896393,7,2022-01-26 23:17:00,2896.1047858590005
1643239080,36683.7,36683.7,36683.7,36683.7,36683.7,0.18773427,8,2022-01-26 23:18:00,6886.787640398999
1643239140,36683.7,36713.0,36683.7,36713.0,36683.9,0.34673933,10,2022-01-26 23:19:00,12729.84102229
